event,local,date,valor_inscricao,link
Só Corridas Seu calendário de corridas de Rua,,2025-06-08,,https://socorridas.com.br
PF Run – 2ª Eição,,2025-06-08,,https://socorridas.com.br/corrida/rondonia/vilhena/pf-run-2a-eicao/
10 Km,,2025-09-10,,https://socorridas.com.br/distancia/10-km/
5 km,,2025-09-05,,https://socorridas.com.br/distancia/5-km/
8ª Corrida da Unimed Juiz De Fora,,2025-06-08,,https://socorridas.com.br/corrida/minas-gerais/juiz-de-fora/8a-corrida-da-unimed-juiz-de-fora/
2.5 Km,,2025-09-05,,https://socorridas.com.br/distancia/25-km/
6.5 Km,,2025-09-05,,https://socorridas.com.br/distancia/65-km/
1ª Brutus Run,,2025-06-08,,https://socorridas.com.br/corrida/tocantins/porto-nacional/1a-brutus-run/
1ª Corrida Pirambas Trail,,2025-06-08,,https://socorridas.com.br/corrida/santa-catarina/seara/1a-corrida-pirambas-trail/
15 Km,,2025-09-15,,https://socorridas.com.br/distancia/15-km/
2ª Trail Run Serra Alta,,2025-06-08,,https://socorridas.com.br/corrida/santa-catarina/sao-bento-do-sul/2a-trail-run-serra-alta/
3ª Corrida e Caminhada FlaRun,,2025-06-07,,https://socorridas.com.br/corrida/amapa/macapa/3a-corrida-e-caminhada-flarun/
4ª Corrida Corredores de Santo Antônio Kids,,2025-06-08,,https://socorridas.com.br/corrida/piaui/parnaiba/4a-corrida-corredores-de-santo-antonio-kids/
Run For Night Run,,2025-06-07,,https://socorridas.com.br/corrida/sao-paulo/piracicaba/run-for-night-run/
Live! Run XP – Brasília,,2025-06-08,,https://socorridas.com.br/corrida/distrito-federal/brasilia/live-run-xp-brasilia/
II Corrida do Turismo de Amapá,,2025-06-08,,https://socorridas.com.br/corrida/amapa/macapa/ii-corrida-do-turismo-de-amapa/
Runn Fastival,,2025-06-08,,https://socorridas.com.br/corrida/distrito-federal/brasilia/runn-fastival/
Últimas corridas adicionadas,,2025-09-05,,https://socorridas.com.br/ultimas-corridas-adicionadas/
Easy Run,,2025-10-05,,https://socorridas.com.br/corrida/sergipe/itabaiana/easy-run/
3ª Corrida Betim Runners,,2025-10-26,,https://socorridas.com.br/corrida/minas-gerais/betim/3a-corrida-betim-runners/
SportTV Run,,2025-10-19,,https://socorridas.com.br/corrida/sao-paulo/sao-paulo/sporttv-run/
Dahma Sports For U Run 2025,,2025-08-31,,https://socorridas.com.br/corrida/sao-paulo/sao-jose-do-rio-preto/dahma-sports-for-u-run-2025/
Blumenau 5K,,2025-09-05,,https://socorridas.com.br/corrida/santa-catarina/blumenau/blumenau-5k/
Meia Maratona de Bertioga 2025,,2025-06-29,,https://socorridas.com.br/corrida/sao-paulo/bertioga/meia-maratona-de-bertioga-2025/
Corridas Curitiba – Etapa 4,,2025-08-09,,https://socorridas.com.br/corrida/parana/pinhais/corridas-curitiba-etapa-4/
